        size,          ops,         time,      op/time
        1024,            0,     0.199454,            0
        2048,            0,     0.100339,            0
        3072,            0,     0.076059,            0
        4096,            0,     0.062146,            0
        5120,            0,     0.039324,            0
        6144,            0,     0.043277,            0
        7168,            0,     0.038165,            0
        8192,            0,     0.024579,            0
        9216,            0,     0.031274,            0
       10240,            0,     0.028636,            0
       11264,            0,     0.025525,            0
       12288,            0,     0.016418,            0
       13312,            0,     0.015189,            0
       14336,            0,     0.014305,            0
       15360,            0,     0.013102,            0
       16384,            0,     0.012377,            0
       17408,            0,     0.011565,            0
       18432,            0,     0.011021,            0
       19456,            0,     0.010356,            0
       20480,            0,     0.009823,            0
       21504,            0,     0.009351,            0
       22528,            0,     0.008941,            0
       23552,            0,     0.008537,            0
       24576,            0,     0.008185,            0
       25600,            0,     0.007848,            0
       26624,            0,     0.007704,            0
       27648,            0,     0.007277,            0
       28672,            0,     0.007010,            0
       29696,            0,     0.006778,            0
       30720,            0,     0.006569,            0
       31744,            0,     0.006399,            0
       32768,            0,     0.006294,            0
       33792,            0,     0.006034,            0
       34816,            0,     0.005790,            0
       35840,            0,     0.005626,            0
       36864,            0,     0.005449,            0
       37888,            0,     0.005309,            0
       38912,            0,     0.005162,            0
       39936,            0,     0.005056,            0
       40960,            0,     0.004905,            0
       41984,            0,     0.004856,            0
       43008,            0,     0.004681,            0
       44032,            0,     0.004572,            0
       45056,            0,     0.004460,            0
       46080,            0,     0.004447,            0
       47104,            0,     0.004517,            0
       48128,            0,     0.004424,            0
       49152,            0,     0.004343,            0
       50176,            0,     0.004242,            0
       51200,            0,     0.004166,            0
       52224,            0,     0.004089,            0
       53248,            0,     0.004011,            0
       54272,            0,     0.003923,            0
       55296,            0,     0.003849,            0
       56320,            0,     0.003969,            0
       57344,            0,     0.003944,            0
       58368,            0,     0.003898,            0
       59392,            0,     0.003808,            0
       60416,            0,     0.003744,            0
       61440,            0,     0.003743,            0
       62464,            0,     0.003702,            0
       63488,            0,     0.003571,            0
       64512,            0,     0.003508,            0
       65536,            0,     0.003455,            0
       66560,            0,     0.003594,            0
       67584,            0,     0.003570,            0
       68608,            0,     0.003518,            0
       69632,            0,     0.003472,            0
       70656,            0,     0.007392,            0
       71680,            0,     0.007298,            0
       72704,            0,     0.007754,            0
       73728,            0,     0.005430,            0
       74752,            0,     0.002890,            0
       75776,            0,     0.006889,            0
       76800,            0,     0.006789,            0
       77824,            0,     0.006679,            0
       78848,            0,     0.006611,            0
       79872,            0,     0.006613,            0
       80896,            0,     0.006508,            0
